film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
3934,588,432,7.1,203461,46000
3405,285,267,6.4,149998,0
478,65,29,3.2,8465,491
74,83,25,7.6,7071,930
1254,1437,224,8,241030,13000
740,111,64,6.4,64742,0
4841,1058,579,8.1,479047,117000
2869,59,104,6.8,18442,689
3252,117,160,7.2,49855,10000
1181,163,99,7.3,16995,0
2020,402,145,6.7,91092,0
4152,371,359,5.9,108242,39000
3220,62,64,6.2,15780,2000
2312,251,161,5.8,63912,912
1820,113,41,7,8535,872
718,85,43,6.4,76850,1000
831,107,65,6.6,40126,975
1231,226,113,6.5,26034,0
1746,125,71,6.6,17261,455
3508,43,10,5.3,8598,250
1621,181,93,6,44913,3000
3197,143,128,4.8,33088,0
4464,5,10,4.8,241,261
3929,7,39,7.1,774,590
2183,18,33,4.5,3119,151
3298,53,83,7.4,6091,0
2392,156,111,5,51252,621
978,41,29,6.1,22748,666
3176,148,222,6.6,55597,4000
272,60,25,6.1,18140,855
2414,69,87,6.3,10052,0
2873,65,121,5.9,8867,0
2744,88,117,7.4,46076,11000
4013,8,13,5.4,133,424
4707,440,465,7.4,232187,47000
4592,34,59,5.3,5693,0
2379,90,34,6.6,19336,0
848,57,31,6.7,8531,591
308,134,52,6.9,48629,0
4210,111,217,6.9,31898,0
1492,377,131,6.6,52244,0
3879,55,162,7.3,15600,0
4094,150,239,6.8,47954,11000
3319,120,124,5.4,31191,0
302,152,75,6.2,31260,0
3854,316,481,7.6,148221,51000
1522,431,142,6.4,200260,0
1491,119,47,3.6,2855,663
1526,12,15,7.6,341,379
4501,37,129,6.6,8307,5000
143,64,15,7,3454,548
1048,207,78,5.9,6082,853
1943,866,301,8.2,692482,11000
877,98,43,6.1,13949,453
4362,null,null,4.3,28,17
2577,306,171,5.8,50170,773
3760,150,206,6.7,46813,12000
2331,43,38,7.3,6454,0
1762,10,8,5.8,191,7
3042,109,127,4.9,31640,791
2226,129,32,1.9,25371,0
2239,4,16,7.4,352,44
4769,110,224,5.8,28429,0
3016,1,5,7.4,59,18
783,283,72,5.8,81783,0
2676,238,173,5.5,32671,0
2471,214,112,7.1,30210,0
1379,498,169,7.3,135246,0
4442,343,292,7.9,221128,46000
2118,1624,287,7.9,361169,18000
4922,781,275,7.3,111609,89000
560,148,49,6.6,62037,0
2949,76,121,6.5,16224,830
4173,79,143,5.2,7384,0
2576,108,94,7.1,28068,0
1015,28,12,5.8,1686,161
3209,30,8,3.1,851,128
2094,69,50,5.7,10104,265
788,88,56,7.5,11612,0
1622,123,81,6.2,25572,2000
578,391,196,7.5,240241,0
368,152,84,7.1,71842,0
2274,148,118,6.2,17373,767
4516,1,6,7.4,70,45
1835,101,64,5.3,14315,201
1575,102,34,6.2,42644,0
671,31,12,5.9,8904,0
4714,186,256,5.8,39975,24000
3014,590,318,6.4,343648,0
1354,433,151,7.7,98354,0
1351,254,125,6,81888,0
2888,103,53,5.3,6267,368
1572,268,135,6.9,30339,0
4724,4,5,5.9,917,224
269,55,24,8.4,9852,0
613,319,81,7.6,181879,0
730,282,63,3.8,53115,0
1933,185,109,5.8,34942,1000
703,39,25,6.9,6011,905
3098,274,245,7.5,55842,13000
1577,207,83,6.2,19986,892
1733,350,167,6.5,57281,0
3149,52,33,4.8,4790,804
2635,441,163,5.7,65551,0
4314,42,68,8.1,6678,0
1655,43,52,6.3,3198,478
3700,411,436,6.6,180479,42000
4954,20,4,7.6,437,450
3619,17,4,3.6,912,502
3653,187,122,3.5,39095,16000
3318,42,113,7.8,7630,0
1792,40,32,4.5,5312,939
2179,1106,268,8.1,482064,14000
528,291,129,4.5,22961,1000
1934,116,81,5.5,49486,886
1686,121,75,5.3,15427,449
1078,109,48,6.9,36108,0
1263,123,74,6.7,22250,913
2470,232,168,7.4,43205,0
2863,626,318,8,473887,10000
4150,7,26,7.7,2112,0
35,29,7,7.5,1314,68
1662,131,56,5.3,7319,327
1320,696,203,7.3,137891,0
3590,86,138,6.2,47297,16000
3856,197,267,6,75864,23000
4246,233,354,7.6,76094,37000
420,95,59,5,30215,0
2944,34,90,6.9,3571,429
3222,174,167,6.2,60555,0
4634,322,343,7,103737,56000
1673,294,98,5.9,77684,0
2998,45,99,7,14301,0
1968,354,138,5.3,18632,656
2280,251,62,5.4,98794,0
4006,174,256,7.3,123553,25000
3955,110,332,7.1,29440,12000
4799,1,5,6.5,354,34
3165,39,76,5.3,10791,464
600,80,61,7.1,15103,2000
2144,978,205,7.6,187595,0
1885,568,176,6.4,86504,0
3377,69,147,5.7,19157,0
1935,369,140,4.9,25870,2000
2049,30,17,7.2,3480,396
4452,289,313,6.2,99035,17000
2444,1100,342,7.2,154938,10000
1443,346,149,7.3,43135,0
3642,733,453,8.3,544884,30000
4542,185,180,7.3,52894,55000
3733,230,272,6.1,37495,37000
1226,186,129,7.3,27543,607
4144,10,10,7.9,53,33
4746,4080,828,8.1,644227,1364147
759,92,26,6,85903,0
1527,81,41,6.4,9566,1000
326,211,127,6.9,29935,0
3178,6,3,6.3,397,143
1806,1331,252,7.7,399651,0
2804,235,84,7.5,52533,10000
1236,140,107,6,5442,339
328,515,215,7.9,281842,34000
4721,29,36,5.1,4099,0
1541,100,62,4.6,10966,365
2008,35,45,5.6,5674,329
4223,3,3,6.8,64,31
524,173,72,7.2,76842,4000
2650,101,37,3,8279,837
1486,318,129,6.7,90374,0
922,34,35,5.1,12942,902
691,460,122,8,163492,15000
2703,483,157,6.9,182757,19000
2747,113,63,4.2,15015,494
862,405,132,6.3,172217,0
4048,99,147,6.1,36029,14000
535,97,57,7.2,49007,0
954,64,53,5.2,63625,0
4448,2725,712,8.6,928227,349000
3082,1017,418,8,641997,13000
4917,29,39,4.7,4146,0
1547,2110,283,8.1,580999,33000
4363,15,30,4.3,2157,421
625,68,32,6.6,17124,949
972,243,73,6.8,220392,0
4224,2,11,5.1,322,81
2578,415,279,7.1,101221,0
4605,53,70,5,9418,0
4502,60,44,7.5,12672,0
2926,null,null,5.2,118,30
2528,76,58,5.7,28848,0
1399,61,52,5.6,3740,314
620,654,181,7.5,143835,14000
2336,148,47,7,4360,1000
2100,64,35,6.7,3222,352
4293,380,270,6.6,133177,24000
804,37,10,4.6,2129,138
1623,90,37,6.3,14656,0
3583,173,226,6.4,138661,0
3425,169,218,7.2,58967,10000
4850,1211,464,5.5,69757,62000
3295,17,56,7.2,9214,0
3516,752,445,6.8,202800,60000
1945,271,129,6.1,96693,0
4942,14,null,5.9,954,57
3704,54,152,5.7,7625,0
811,144,52,6.8,22345,0
2569,382,31,6.7,12399,0
899,164,70,4.4,26051,0
18,133,51,8,17799,0
2328,814,237,5.2,88146,0
561,252,77,7,154199,0
912,395,114,6.3,144053,0
3457,283,377,7.4,141425,25000
3455,1140,669,8,551363,106000
4382,3,8,4.4,237,190
4147,384,415,7.3,150082,36000
3815,83,76,3.6,15866,0
1389,112,63,5.9,12519,853
3044,281,324,7.6,136673,10000
3384,10,4,5.2,1097,402
1403,237,87,5.3,80639,0
498,143,51,7.7,52846,0
1447,192,128,6.7,31169,812
1126,515,160,6.4,56741,1000
3146,492,270,5.9,78256,0
51,28,27,7.2,1756,169
6,71,36,6.3,4546,167
3187,19,37,7.2,1696,1000
3830,211,195,4.9,49312,0
1472,79,58,5.1,10777,671
3256,245,335,7.8,139114,15000
3616,636,479,8,503631,64000
4744,994,602,6.8,275868,85000
2582,150,144,6.3,12197,650
4388,13,18,7.1,2841,0
1713,795,194,6.2,162909,0
1917,155,128,6.4,25165,827
4263,122,238,6.5,64748,12000
4607,23,16,4.9,2706,549
4344,211,211,6.2,69355,10000
4064,166,234,5.1,20376,15000
2791,299,166,6.8,60156,0
1266,42,10,6.2,899,271
658,317,112,4.3,19331,949
4317,216,276,7.4,115813,22000
958,682,161,8.3,604904,31000
2594,27,99,7.4,6183,1000
1659,988,187,6.7,272223,14000
2468,409,168,6.4,35140,0
3156,245,195,6.2,40964,0
225,116,84,7.7,9513,0
1916,332,153,6.3,162331,0
3691,40,92,6.6,7390,0
3958,160,224,5.6,58366,10000
4215,420,319,7.6,203963,58000
289,284,201,7.2,91017,0
4589,252,349,7.1,86664,38000
314,48,34,6.6,16764,1000
4278,34,9,5.8,844,962
1009,742,173,7.7,343274,18000
4894,266,194,5.2,55617,14000
2757,118,190,6.7,24150,923
454,388,173,6.9,219171,19000
3886,127,178,5.2,44662,0
2730,192,172,7.7,99177,11000
2983,26,41,4.4,2458,211
592,249,60,5.7,43376,0
1725,120,92,7.7,19732,0
1307,514,162,8,128455,0
4937,6,null,6.7,114,4
2996,215,50,6.5,17068,0
285,149,120,7.4,27629,2000
1692,91,40,6.6,29392,0
3426,388,333,6.8,87677,11000
3965,738,462,6.6,212204,24000
1166,57,28,7.2,5841,942
234,80,22,6.3,13587,729
