film_id,person_id,role
1,1630,director
1,4843,actor
1,5050,actor
1,8175,actor
2,3000,director
2,4019,actor
2,5274,actor
2,7449,actor
3,1459,actor
3,3929,actor
3,4581,director
3,6580,actor
4,1008,actor
4,2649,director
4,2941,actor
4,6950,actor
5,2580,actor
5,2648,actor
5,2747,director
5,4958,actor
6,462,actor
6,753,actor
6,1234,actor
6,2996,director
7,3094,director
7,3344,actor
7,3519,actor
7,5146,actor
8,61,actor
8,2593,director
8,2693,actor
8,3038,actor
9,2070,actor
9,2751,actor
9,2838,actor
9,4906,director
10,2824,actor
10,4955,actor
10,4962,director
10,5051,actor
11,140,actor
11,1477,actor
11,2594,director
11,8170,actor
12,2262,actor
12,2385,actor
12,2838,actor
12,5215,director
13,1228,director
13,2626,actor
13,6244,actor
13,7415,actor
14,1901,actor
14,2451,actor
14,5512,director
14,7406,actor
15,71,actor
15,817,actor
15,4971,actor
15,8245,director
16,1901,actor
16,3902,director
16,5273,actor
16,6900,actor
17,2107,actor
17,3053,director
17,3895,actor
17,8028,actor
18,466,actor
18,2594,director
18,3517,actor
18,4874,actor
19,2779,actor
19,3012,actor
19,7762,actor
19,8101,director
20,1475,actor
20,2594,director
20,3517,actor
20,7762,actor
21,804,actor
21,5126,actor
21,7714,actor
21,8101,director
22,1477,actor
22,3035,actor
22,3226,director
22,7400,actor
23,1989,actor
23,3304,director
23,4797,actor
24,1495,actor
24,2073,actor
24,5429,actor
24,6004,director
25,246,director
25,2781,actor
25,3783,actor
25,4726,actor
26,2674,actor
26,5957,actor
26,7406,actor
26,8174,director
27,666,actor
27,3918,director
27,6842,actor
27,8178,actor
28,465,actor
28,2143,actor
28,3304,director
28,7038,actor
29,1475,actor
29,1554,actor
29,3122,actor
29,5512,director
30,2458,actor
30,3171,actor
30,7400,actor
30,8101,director
31,679,actor
31,2458,actor
31,2782,director
31,6551,actor
32,246,director
32,4779,actor
32,6006,actor
32,6592,actor
33,1683,actor
33,2607,actor
33,3546,actor
33,8174,director
34,821,director
34,2598,actor
34,3424,actor
34,6532,actor
35,2889,actor
35,3708,actor
35,4874,actor
35,7670,director
36,3619,actor
36,4131,actor
36,4581,director
36,4843,actor
37,2141,actor
37,2594,director
37,4874,actor
37,7762,actor
38,1683,actor
38,5797,actor
38,7708,actor
38,8279,director
39,1202,actor
39,1964,actor
39,2290,director
39,3925,actor
40,2491,actor
40,6074,director
40,6710,actor
40,7684,actor
41,4201,actor
41,4679,actor
41,6197,actor
41,6673,director
42,581,actor
42,3947,actor
42,3992,director
42,7297,actor
43,2997,actor
43,3092,director
43,5773,actor
43,8169,actor
44,2321,actor
44,2846,actor
44,6568,actor
44,8141,director
45,277,director
45,2563,actor
45,3313,actor
45,6643,actor
46,707,actor
46,2997,actor
46,3918,director
46,8103,actor
47,763,actor
47,2782,director
47,3095,actor
47,4410,actor
48,2290,director
48,4326,actor
48,4568,actor
48,5235,actor
49,1974,actor
49,5469,director
49,6350,actor
49,6813,actor
50,84,actor
50,624,actor
50,2782,director
50,3095,actor
51,3122,actor
51,3734,actor
51,4568,actor
51,6618,director
52,2637,director
52,2693,actor
52,4907,actor
52,4921,actor
53,1614,actor
53,1968,actor
53,6713,actor
53,7416,director
54,1195,director
54,1569,actor
54,2150,actor
54,2862,actor
55,1974,actor
55,2141,actor
55,2637,director
55,5773,actor
56,3048,director
56,3522,actor
56,4131,actor
56,8231,actor
57,1196,actor
57,2467,director
57,4477,actor
57,6932,actor
58,3054,director
58,3524,actor
58,6621,actor
58,8102,actor
59,3363,actor
59,6211,actor
59,6636,director
59,6777,actor
60,3363,actor
