"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
13333,495,1,2349,4.99,"2005-06-18T12:25:14.000Z"
13334,495,1,2549,7.99,"2005-06-19T02:46:39.000Z"
13335,495,1,3129,3.99,"2005-06-20T18:57:48.000Z"
13336,495,2,3966,2.99,"2005-07-06T22:38:49.000Z"
13337,495,2,5484,7.99,"2005-07-09T23:54:37.000Z"
13338,495,2,6426,7.99,"2005-07-11T23:56:38.000Z"
13339,495,2,7191,2.99,"2005-07-27T08:36:15.000Z"
13340,495,1,8151,0.99,"2005-07-28T20:50:52.000Z"
13341,495,1,8383,1.99,"2005-07-29T05:36:47.000Z"
13342,495,1,8451,5.99,"2005-07-29T07:44:56.000Z"
13343,495,1,8672,5.99,"2005-07-29T15:49:48.000Z"
13344,495,1,9387,9.99,"2005-07-30T19:27:05.000Z"
13345,495,1,9741,4.99,"2005-07-31T09:09:22.000Z"
13346,495,2,10065,4.99,"2005-07-31T19:27:34.000Z"
13347,495,2,10643,5.99,"2005-08-01T15:48:33.000Z"
13348,495,1,10783,4.99,"2005-08-01T21:23:37.000Z"
13349,495,1,12782,5.99,"2005-08-18T23:56:23.000Z"
13350,495,2,12837,0.99,"2005-08-19T01:51:09.000Z"
13351,495,2,13205,3.99,"2005-08-19T15:05:26.000Z"
13352,495,2,13445,2.99,"2005-08-20T00:05:33.000Z"
13353,495,2,13818,4.99,"2005-08-20T13:20:09.000Z"
13354,495,1,15984,2.99,"2005-08-23T20:16:27.000Z"
13355,495,2,13753,0.99,"2006-02-14T15:16:03.000Z"
13356,496,2,322,4.99,"2005-05-27T00:47:35.000Z"
13357,496,2,966,0.99,"2005-05-30T19:00:37.000Z"
13358,496,1,2567,2.99,"2005-06-19T04:04:46.000Z"
13359,496,2,3569,3.99,"2005-07-06T03:17:23.000Z"
13360,496,1,4070,2.99,"2005-07-07T04:37:09.000Z"
13361,496,1,4261,4.99,"2005-07-07T14:23:56.000Z"
13362,496,1,4269,0.99,"2005-07-07T14:38:33.000Z"
13363,496,1,5559,5.99,"2005-07-10T03:13:07.000Z"
